"subject" "activity" "domain" "signal_type" "signal_source" "parameter" "axis" "mean(value)"
"10" "laying" "fourier.transform" "accelerometer" "body" "mean" "y" -0.961190511465517
"10" "laying" "fourier.transform" "accelerometer" "body" "mean" "z" -0.968446529051724
"10" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.954841264051724
"10" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.97343620137931
"10" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.95717492025
"10" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.969198003474138
"10" "laying" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.949334732068966
"10" "laying" "fourier.transform" "gyroscope" "body" "mean" "x" -0.953793912068965
"10" "laying" "fourier.transform" "gyroscope" "body" "mean" "y" -0.954670034482759
"10" "laying" "fourier.transform" "gyroscope" "body" "mean" "z" -0.969755777241379
"10" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.947237095431035
"10" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.96454456637931
"10" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.953453496551724
"10" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.975298797068965
"10" "laying" "time" "accelerometer" "body" "mean" "magnitude" -0.966508127413793
"10" "laying" "time" "accelerometer" "body" "mean" "x" 0.177022819312931
"10" "laying" "time" "accelerometer" "body" "mean" "y" -0.00429774352043103
"10" "laying" "time" "accelerometer" "body" "mean" "z" -0.0550008732496552
"10" "laying" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.953929317586207
"10" "laying" "time" "accelerometer" "body" "std.deviation" "x" -0.973145575862069
"10" "laying" "time" "accelerometer" "body" "std.deviation" "y" -0.956692547758621
"10" "laying" "time" "accelerometer" "body" "std.deviation" "z" -0.967864074482759
"10" "laying" "time" "accelerometer" "gravity" "mean" "magnitude" -0.956781819655172
"10" "laying" "time" "accelerometer" "gravity" "mean" "x" -0.453069737586207
"10" "laying" "time" "accelerometer" "gravity" "mean" "y" -0.139297681034483
"10" "laying" "time" "accelerometer" "gravity" "mean" "z" -0.031121624137931
"10" "laying" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.940301654482759
"10" "laying" "time" "accelerometer" "gravity" "std.deviation" "x" -0.954531941896552
"10" "laying" "time" "accelerometer" "gravity" "std.deviation" "y" -0.966701156034483
"10" "laying" "time" "accelerometer" "gravity" "std.deviation" "z" -0.963045642431035
"10" "laying" "time" "gyroscope" "body" "mean" "magnitude" -0.95421092387931
"10" "laying" "time" "gyroscope" "body" "mean" "x" -0.059932095787931
"10" "laying" "time" "gyroscope" "body" "mean" "y" -0.0579561788839655
"10" "laying" "time" "gyroscope" "body" "mean" "z" 0.0228229935344828
"10" "laying" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.943552048534483
"10" "laying" "time" "gyroscope" "body" "std.deviation" "x" -0.963806888965517
"10" "laying" "time" "gyroscope" "body" "std.deviation" "y" -0.960140623965517
"10" "laying" "time" "gyroscope" "body" "std.deviation" "z" -0.977944950086207
"10" "sitting" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.970590905925926
"10" "sitting" "fourier.transform" "accelerometer" "body" "mean" "x" -0.987154079074074
"10" "sitting" "fourier.transform" "accelerometer" "body" "mean" "y" -0.960706528055556
"10" "sitting" "fourier.transform" "accelerometer" "body" "mean" "z" -0.980350711203704
"10" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.96238934712963
"10" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.985896672592593
"10" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.947441827064815
"10" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.977615951296296
"10" "sitting" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.983325630925926
"10" "sitting" "fourier.transform" "gyroscope" "body" "mean" "x" -0.986477363333333
"10" "sitting" "fourier.transform" "gyroscope" "body" "mean" "y" -0.986179215555556
"10" "sitting" "fourier.transform" "gyroscope" "body" "mean" "z" -0.96539546962963
"10" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.976934528518518
"10" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.989712360740741
"10" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.983579646666667
"10" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.962418559814815
"10" "sitting" "time" "accelerometer" "body" "mean" "magnitude" -0.974405718611111
"10" "sitting" "time" "accelerometer" "body" "mean" "x" 0.1740746535
"10" "sitting" "time" "accelerometer" "body" "mean" "y" -0.0030319636325
"10" "sitting" "time" "accelerometer" "body" "mean" "z" -0.0546244515364815
"10" "sitting" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.962439723888889
"10" "sitting" "time" "accelerometer" "body" "std.deviation" "x" -0.98592412
"10" "sitting" "time" "accelerometer" "body" "std.deviation" "y" -0.949368159888889
"10" "sitting" "time" "accelerometer" "body" "std.deviation" "z" -0.978041392685185
"10" "sitting" "time" "accelerometer" "gravity" "mean" "magnitude" -0.96075719962963
"10" "sitting" "time" "accelerometer" "gravity" "mean" "x" 0.791887198148148
"10" "sitting" "time" "accelerometer" "gravity" "mean" "y" -0.041260775
"10" "sitting" "time" "accelerometer" "gravity" "mean" "z" 0.20253457287037
"10" "sitting" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.939669591481481
"10" "sitting" "time" "accelerometer" "gravity" "std.deviation" "x" -0.973128354074074
"10" "sitting" "time" "accelerometer" "gravity" "std.deviation" "y" -0.935690006481481
"10" "sitting" "time" "accelerometer" "gravity" "std.deviation" "z" -0.966898520555556
"10" "sitting" "time" "gyroscope" "body" "mean" "magnitude" -0.968954765648148
"10" "sitting" "time" "gyroscope" "body" "mean" "x" -0.0681993601666667
"10" "sitting" "time" "gyroscope" "body" "mean" "y" -0.0545605069907407
"10" "sitting" "time" "gyroscope" "body" "mean" "z" 0.0128273477207407
"10" "sitting" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.977380387037037
"10" "sitting" "time" "gyroscope" "body" "std.deviation" "x" -0.990599877222222
"10" "sitting" "time" "gyroscope" "body" "std.deviation" "y" -0.988478899814815
"10" "sitting" "time" "gyroscope" "body" "std.deviation" "z" -0.975352887592593
"10" "standing" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.945871928977273
"10" "standing" "fourier.transform" "accelerometer" "body" "mean" "x" -0.966832490227273
"10" "standing" "fourier.transform" "accelerometer" "body" "mean" "y" -0.932783252840909
"10" "standing" "fourier.transform" "accelerometer" "body" "mean" "z" -0.963756948068182
"10" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.94857710375
"10" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.975780691022727
"10" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.933353935113636
"10" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.958763706136364
"10" "standing" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.951700412386364
"10" "standing" "fourier.transform" "gyroscope" "body" "mean" "x" -0.924005912954545
